
 ПРОТОКОЛ №1            27-05-2018 13:15:51
 -------------------------------------------------------------------------------
 Оператор:   [ТЕСТ РУЧНОЙ №4]
 Мишень:     [1]
 -------------------------------------------------------------------------------
 Номер      Отметка      Область     Положение X   Положение Y    Входит в
 пробоины   времени      попадания                                круг/прямоуг.
 -------------------------------------------------------------------------------
   1	  00:00:04:5	 3	     70    	   75	          0
   2	  00:00:05:0	 1	     -210    	   100	          0
   3	  00:00:05:2	 7	     -190    	   -120	          0
   4	  00:00:05:5	 5	     110    	   -135	          0
   5	  00:00:05:7	 5	     135    	   -110	          0
   6	  00:00:05:9	 3	     135    	   10	          0
   7	  00:00:06:3	 1	     -205    	   140	          0
   8	  00:00:06:6	 1	     -205    	   5	          0
   9	  00:00:06:8	 7	     -65    	   -70	          1
   10	  00:00:07:0	 7	     -40    	   -70	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
   *	  00:00:00:0	 0	     0	           0	          1
